ANNOSCOLASTICO,CODICESCUOLA,ORDINESCUOLA,ANNOCORSO,FASCIAETA,ALUNNI
201516,MI1M027001,SCUOLA SECONDARIA I GRADO,2,11 anni,3
201516,BO1M00900P,SCUOLA SECONDARIA I GRADO,3,> di 13 anni,3
201516,PR1M008004,SCUOLA SECONDARIA I GRADO,3,13 anni,27
201516,TO1M041007,SCUOLA SECONDARIA I GRADO,2,11 anni,7
201516,VI1M01500A,SCUOLA SECONDARIA I GRADO,1,12 anni,2
201516,UD1MD8500H,SCUOLA SECONDARIA I GRADO,2,11 anni,1
201516,ME1M00600L,SCUOLA SECONDARIA I GRADO,3,12 anni,7
201516,CT1M01600C,SCUOLA SECONDARIA I GRADO,1,12 anni,1
201516,RM1M09300C,SCUOLA SECONDARIA I GRADO,2,11 anni,4
201516,RM1M14200C,SCUOLA SECONDARIA I GRADO,1,11 anni,11
201516,TO1M012007,SCUOLA SECONDARIA I GRADO,1,< di 11 anni,1
201516,VI1M011003,SCUOLA SECONDARIA I GRADO,3,13 anni,23
201516,FR1M003006,SCUOLA SECONDARIA I GRADO,3,13 anni,8
201516,PD1M01000T,SCUOLA SECONDARIA I GRADO,2,11 anni,4
201516,MI1M021002,SCUOLA SECONDARIA I GRADO,2,12 anni,51
201516,PV1M00500T,SCUOLA SECONDARIA I GRADO,3,13 anni,31
201516,RN1M030007,SCUOLA SECONDARIA I GRADO,2,11 anni,1
201516,PE1M003009,SCUOLA SECONDARIA I GRADO,2,12 anni,16
201516,BG1M02400V,SCUOLA SECONDARIA I GRADO,2,11 anni,3
201516,MI1M076006,SCUOLA SECONDARIA I GRADO,3,12 anni,3
201516,TV1M00500C,SCUOLA SECONDARIA I GRADO,2,11 anni,1
201516,VA1M01500L,SCUOLA SECONDARIA I GRADO,2,11 anni,3
201516,TV1MRF500I,SCUOLA SECONDARIA I GRADO,1,12 anni,12
201516,BG1MVN5002,SCUOLA SECONDARIA I GRADO,2,12 anni,21
201516,NO1M001009,SCUOLA SECONDARIA I GRADO,3,12 anni,3
201516,LC1M10100G,SCUOLA SECONDARIA I GRADO,3,13 anni,48
201516,TO1M02900L,SCUOLA SECONDARIA I GRADO,2,12 anni,16
201516,NA1M040001,SCUOLA SECONDARIA I GRADO,3,13 anni,12
201516,PC1M00100C,SCUOLA SECONDARIA I GRADO,2,12 anni,10
201516,RM1M057009,SCUOLA SECONDARIA I GRADO,2,11 anni,12
201516,RM1M11900B,SCUOLA SECONDARIA I GRADO,1,11 anni,58
